"Conduction Band (eV)","vtkValidPointMask","arc_length","x (nm)","y (nm)","z (nm)"
1.1573,1,111.02,-18.98,0,25.9
1.1583,1,111.28,-18.72,0,25.9
1.1593,1,111.54,-18.46,0,25.9
1.1603,1,111.8,-18.2,0,25.9
1.1613,1,112.06,-17.94,0,25.9
1.1623,1,112.32,-17.68,0,25.9
1.1633,1,112.58,-17.42,0,25.9
1.1643,1,112.84,-17.16,0,25.9
1.1653,1,113.1,-16.9,0,25.9
1.1663,1,113.36,-16.64,0,25.9
1.1673,1,113.62,-16.38,0,25.9
1.1683,1,113.88,-16.12,0,25.9
1.1714,1,114.14,-15.86,0,25.9
1.1758,1,114.4,-15.6,0,25.9
1.1802,1,114.66,-15.34,0,25.9
1.1846,1,114.92,-15.08,0,25.9
1.189,1,115.18,-14.82,0,25.9
1.1935,1,115.44,-14.56,0,25.9
1.1979,1,115.7,-14.3,0,25.9
1.2023,1,115.96,-14.04,0,25.9
1.2067,1,116.22,-13.78,0,25.9
1.2111,1,116.48,-13.52,0,25.9
1.2155,1,116.74,-13.26,0,25.9
1.2199,1,117,-13,0,25.9
1.2243,1,117.26,-12.74,0,25.9
1.2288,1,117.52,-12.48,0,25.9
1.2332,1,117.78,-12.22,0,25.9
1.2376,1,118.04,-11.96,0,25.9
1.2422,1,118.3,-11.7,0,25.9
1.2462,1,118.56,-11.44,0,25.9
1.2486,1,118.82,-11.18,0,25.9
1.2503,1,119.08,-10.92,0,25.9
1.2502,1,119.34,-10.66,0,25.9
1.2516,1,119.6,-10.4,0,25.9
1.2538,1,119.86,-10.14,0,25.9
1.256,1,120.12,-9.88,0,25.9
1.2583,1,120.38,-9.62,0,25.9
1.2605,1,120.64,-9.36,0,25.9
1.2627,1,120.9,-9.1,0,25.9
1.265,1,121.16,-8.84,0,25.9
1.2672,1,121.42,-8.58,0,25.9
1.2694,1,121.68,-8.32,0,25.9
1.2716,1,121.94,-8.06,0,25.9
1.2739,1,122.2,-7.8,0,25.9
1.2761,1,122.46,-7.54,0,25.9
1.2783,1,122.72,-7.28,0,25.9
1.2805,1,122.98,-7.02,0,25.9
1.2828,1,123.24,-6.76,0,25.9
1.2835,1,123.5,-6.5,0,25.9
1.2834,1,123.76,-6.24,0,25.9
1.2832,1,124.02,-5.98,0,25.9
1.2831,1,124.28,-5.72,0,25.9
1.2829,1,124.54,-5.46,0,25.9
1.2828,1,124.8,-5.2,0,25.9
1.2827,1,125.06,-4.94,0,25.9
1.2825,1,125.32,-4.68,0,25.9
1.2824,1,125.58,-4.42,0,25.9
1.2823,1,125.84,-4.16,0,25.9
