"Conduction Band (eV)","vtkValidPointMask","arc_length","x (nm)","y (nm)","z (nm)"
1.2681,0,1,137.28,7.28,0,25.9
1.2657,0,1,137.54,7.54,0,25.9
1.2634,0,1,137.8,7.8,0,25.9
1.261,0,1,138.06,8.06,0,25.9
1.2586,0,1,138.32,8.32,0,25.9
1.2563,0,1,138.58,8.58,0,25.9
1.2539,0,1,138.84,8.84,0,25.9
1.2516,0,1,139.1,9.1,0,25.9
1.2492,0,1,139.36,9.36,0,25.9
1.2469,0,1,139.62,9.62,0,25.9
1.2445,0,1,139.88,9.88,0,25.9
1.2422,0,1,140.14,10.14,0,25.9
1.2401,0,1,140.4,10.4,0,25.9
1.2387,0,1,140.66,10.66,0,25.9
1.2388,0,1,140.92,10.92,0,25.9
1.2373,0,1,141.18,11.18,0,25.9
1.2351,0,1,141.44,11.44,0,25.9
1.2315,0,1,141.7,11.7,0,25.9
1.2274,0,1,141.96,11.96,0,25.9
1.2234,0,1,142.22,12.22,0,25.9
1.2195,0,1,142.48,12.48,0,25.9
1.2155,0,1,142.74,12.74,0,25.9
1.2115,0,1,143,13,0,25.9
1.2076,0,1,143.26,13.26,0,25.9
1.2036,0,1,143.52,13.52,0,25.9
1.1996,0,1,143.78,13.78,0,25.9
1.1957,0,1,144.04,14.04,0,25.9
1.1917,0,1,144.3,14.3,0,25.9
1.1877,0,1,144.56,14.56,0,25.9
1.1838,0,1,144.82,14.82,0,25.9
1.1798,0,1,145.08,15.08,0,25.9
1.1758,0,1,145.34,15.34,0,25.9
1.1718,0,1,145.6,15.6,0,25.9
1.1679,0,1,145.86,15.86,0,25.9
1.1651,0,1,146.12,16.12,0,25.9
1.1641,0,1,146.38,16.38,0,25.9
1.1632,0,1,146.64,16.64,0,25.9
1.1623,0,1,146.9,16.9,0,25.9
1.1613,0,1,147.16,17.16,0,25.9
1.1604,0,1,147.42,17.42,0,25.9
1.1594,0,1,147.68,17.68,0,25.9
1.1585,0,1,147.94,17.94,0,25.9
1.1576,0,1,148.2,18.2,0,25.9
1.1566,0,1,148.46,18.46,0,25.9
1.1557,0,1,148.72,18.72,0,25.9
